행정구역별(읍면동),총인구 (명),남자 (명),여자 (명),내국인-계 (명),내국인-남자 (명),내국인-여자 (명),외국인-계 (명),외국인-남자 (명),외국인-여자 (명),가구-계 (가구),일반가구 (가구),집단가구 (가구),외국인가구 (가구),주택-계 (호),단독주택 (호),아파트 (호),연립주택 (호),다세대주택 (호),비거주용 건물내 주택 (호),주택이외의 거처 (호)
전국,51829136,25915207,25913929,50133493,24972588,25160905,1695643,942619,753024,21484785,20926710,16388,541687,18525844,3897729,11661851,521606,2230787,213871,1000903
읍부,5113052,2624351,2488701,4904647,2494271,2410376,208405,130080,78325,2080384,2021664,2353,56367,1992568,579820,1142894,79981,159041,30832,74804
면부,4650781,2420392,2230389,4394145,2237761,2156384,256636,182631,74005,2068878,2008345,4237,56296,2105345,1539804,427449,36565,69672,31855,103889
동부,42065303,20870464,21194839,40834701,20240556,20594145,1230602,629908,600694,17335523,16896701,9798,429024,14427931,1778105,10091508,405060,2002074,151184,822210
서울특별시,9586195,4647733,4938462,9219741,4474343,4745398,366454,173390,193064,4126524,3982290,2264,141970,3015371,307075,1772670,110562,796066,28998,248125
종로구,151291,73062,78229,139718,67919,71799,11573,5143,6430,68069,63414,115,4540,46859,12259,15688,5460,12540,912,5663
중구,128744,62147,66597,117252,56725,60527,11492,5422,6070,59817,55093,96,4628,42234,5967,26102,1944,7352,869,5695
용산구,225882,109162,116720,208602,99866,108736,17280,9296,7984,101431,95714,89,5628,74542,14064,37676,3969,18124,709,6611
성동구,291918,142128,149790,281266,137301,143965,10652,4827,5825,126658,122186,69,4403,91329,10525,67584,1990,10158,1072,6092
광진구,353967,169925,184042,333985,161130,172855,19982,8795,11187,160944,152090,78,8776,89832,15332,32135,4054,36858,1453,8065
동대문구,351057,171484,179573,331833,163507,168326,19224,7977,11247,158899,150373,131,8395,103520,17120,65033,3274,16511,1582,11084
중랑구,385663,189537,196126,378258,186593,191665,7405,2944,4461,167617,164832,49,2736,112364,18560,55499,4466,32303,1536,4471
성북구,438833,209682,229151,425295,204207,221088,13538,5475,8063,184871,179660,192,5019,138621,22520,79206,6262,29213,1420,3730
강북구,299535,144779,154756,294351,142837,151514,5184,1942,3242,131884,129805,72,2007,97452,17557,34733,4789,39331,1042,2539
도봉구,315979,153080,162899,312852,151906,160946,3127,1174,1953,128378,127362,49,967,107156,8634,65032,4144,28620,726,4127
노원구,511982,246317,265665,506237,243759,262478,5745,2558,3187,204210,202695,86,1429,189213,6619,163502,3448,14948,696,3261
은평구,463102,221828,241274,456902,219268,237634,6200,2560,3640,192581,190631,77,1873,150658,14937,59438,5830,69210,1243,9905
서대문구,317209,148696,168513,302902,143329,159573,14307,5367,8940,138528,133112,99,5317,101036,12600,54132,5461,27910,933,6083
마포구,365612,171161,194451,352890,165953,186937,12722,5208,7514,166007,160681,100,5226,122311,11618,70307,3142,35643,1601,15829
양천구,439068,214978,224090,433221,212412,220809,5847,2566,3281,168184,166044,44,2096,143769,7698,90788,4042,40382,859,6567
강서구,564854,271779,293075,555952,267919,288033,8902,3860,5042,247202,244097,74,3031,195383,10260,113767,4794,65426,1136,28136
구로구,435442,216855,218587,389832,192124,197708,45610,24731,20879,182636,164083,96,18457,133012,11474,83459,7388,29852,839,14324
금천구,249419,126490,122929,222303,112014,110289,27116,14476,12640,115254,103432,67,11755,68804,8807,31689,3914,23859,535,11441
영등포구,403619,200678,202941,356649,175746,180903,46970,24932,22038,178217,162391,121,15705,107366,14276,74957,1487,15474,1172,26005
동작구,392772,189611,203161,376840,182415,194425,15932,7196,8736,174572,167766,107,6699,115615,14522,61606,5289,33103,1095,3266
관악구,502641,250850,251791,478545,239878,238667,24096,10972,13124,259822,248959,178,10685,127568,21249,55417,6218,42770,1914,17696
서초구,401749,192081,209668,394326,188488,205838,7423,3593,3830,158582,156123,78,2381,133528,5481,94499,5356,26931,1261,8533
강남구,508135,243322,264813,498857,238710,260147,9278,4612,4666,212582,208833,87,3662,173745,6968,126023,5827,33190,1737,14630
송파구,643288,309802,333486,633026,305040,327986,10262,4762,5500,259785,255766,67,3952,211578,8072,127239,4900,69796,1571,16692
강동구,444434,218299,226135,437847,215297,222550,6587,3002,3585,179794,177148,43,2603,137876,9956,87159,3114,36562,1085,7680
부산광역시,3349016,1638751,1710265,3294102,1608877,1685225,54914,29874,25040,1420252,1405037,781,14434,1275859,196817,860042,31112,174214,13674,80046
읍부,141436,69853,71583,139179,68339,70840,2257,1514,743,55610,55070,40,500,53246,5454,42218,1353,3738,483,1977
면부,28029,13935,14094,27768,13786,13982,261,149,112,11579,11514,5,60,12295,2793,9038,137,146,181,289
동부,3179551,1554963,1624588,3127155,1526752,1600403,52396,28211,24185,1353063,1338453,736,13874,1210318,188570,808786,29622,170330,13010,77780
