,날짜,헤드라인
0,20220101,새해 첫날 남아공 투투 대주교 장례식 엄수…비오고 맑아 '축복'(종합)
1,20220101,"이준석 ""국민의힘, 동백꽃의 아픔 지닌 분들과 함께할 것""(종합)"
2,20220101,0~9세 코로나 확진자 1주간 4600여명 늘었다…미접종 사각지대 '불안'
3,20220101,고령층 77.2% 3차 접종···3차 접종률은 전체 인구 35.9%
4,20220101,돌파 감염까지…광주서 또다시 외국인 집단감염 기로
5,20220101,오미크론 한 달 만에 누적 1114명…하루 새 220명↑
6,20220101,올해 출생 아동부터 200만 원 '첫만남이용권' 받는다
7,20220101,"전북, 백신 비 접종 대상층 중심 집단감염 잇따라(종합)"
8,20220101,인권위 신임 사무총장에 박진 다산인권센터 상임활동가 임명
9,20220101,[인사] 국가인권위원회
10,20220101,40대 이하 위중증 환자 82명…젊다고 코로나 감염 안심 못한다
11,20220101,서울 중증 병상 가동률 60%대로 내려와···부산은 84.4%
12,20220101,軍 코로나 확진자 22명 추가…21명 돌파감염
13,20220101,경기 코로나 신규 확진 1391명…중증병상 가동률 사흘째 60%대
14,20220101,"오미크론 감염자 1000명 넘었다…사망 62명, 위중증 1049명(종합)"
15,20220101,새해 첫날 코로나 신규 확진 4416명…오미크론 누적 1000명 넘어
16,20220101,"[속보] 코로나 신규 확진자 4416명, 위중증 1049명"
17,20220101,전북 3개 시 중심 코로나 확산 지속…31일 85명 확진
18,20220101,"[속보] 오미크론 감염 220명 늘어 누적 1,114명···1,000명 넘어"
19,20220101,"4416명 확진, 이틀째 4천명대…위중증 1049명·사망 62명(상보)"
20,20220101,"[속보]4416명 확진, 이틀째 4천명대…사망 62명, 위중증 1049명"
21,20220101,[#나눔동행] 아픈 아이들 향한 마음…기부 앞장서는 언어치료사
22,20220101,"""외국인보호소 가혹행위 막으려면 수용자 휴대폰 사용 허용해야"""
23,20220101,"[얼굴 건강]치주질환은 완치없는 만성질환, 꾸준한 관리가 답"
24,20220101,[심부전과 살아가기] 심부전 환자의 심장 재활
25,20220101,코고는 사람이 새벽에 야뇨증세 있으면 무호흡 가능성 높아
26,20220101,"두상 교정치료, 반드시 전문의 진단 후 시작해야 하는 이유"
27,20220101,"'평발'보다 더 무섭다는 요족, 방치하면 발 건강 악화요인 될수도"
28,20220101,문마다 걸린 떡 한봉지…13년째 기부 이어온 '청량리 통장님'
29,20220101,"[우리이웃 새해소망] 당당한 '노년 노동'…""계속 일터에 있고 싶어요"""
30,20220101,[지방 순삭] 마른 비만 증가...복부 다이어트 실천해야
31,20220101,"[새해에는] 전동평 영암군수 ""영암발전 초석 다져 나가겠다"""
32,20220101,"오미크론·먹는약·접종속도, 누가 빠를까…2022년 방역 최대 승부처"
33,20220101,방역패스 없으면 대형마트·백화점 못 간다
34,20220101,새해 첫날 남아공 투투 대주교 장례식 거행…100명 참석 제한
35,20220101,"2022년 첫둥이 품에 안은 父 “건강하게 행복하게 잘 살자"""
36,20220101,2022년 임인년 첫둥이…3.4㎏ 여아 ‘꾸물이’
37,20220101,뇌가 건강한 노인들의 6가지 공통점[조성진 박사의 엉뚱한 뇌 이야기]
38,20220101,호랑이 기운으로 시작하는 2022년... 월별 주의사항만 익혀도 OK
39,20220101,강력한 거리두기로 시작된 새해…'1년 전과 판박이'
40,20220102,"‘딩동’ 소리나면 못들어갑니다, 오늘부터 방역패스 유효기간제"
41,20220102,광주·전남서 '감염원 불명' 학교발 지역감염 확산…93명 추가(종합)
